iter	RMSE
0	1.677951584
1	1.671693426
2	1.666505178
3	1.661216793
4	1.655308762
5	1.650929845
6	1.646545967
7	1.643239417
8	1.637648656
9	1.634240113
10	1.630523321
11	1.627181173
12	1.623482001
13	1.619769661
14	1.616135427
15	1.612285332
16	1.609524708
17	1.6068525
18	1.602678591
19	1.599772141
20	1.597113013
21	1.594723833
22	1.591346212
23	1.587399499
24	1.583829875
25	1.581555596
26	1.579317308
27	1.574943602
28	1.572112758
29	1.569851807
30	1.567323555
31	1.565789838
32	1.562834377
33	1.559266392
34	1.557635746
35	1.555388391
36	1.552477233
37	1.55028565
38	1.548384826
39	1.545882724
40	1.544833685
41	1.543357423
42	1.540338089
43	1.538493474
44	1.536660134
45	1.534742139
46	1.533518946
47	1.531173871
48	1.529185369
49	1.527062738
50	1.525248645
51	1.524053131
52	1.522267026
53	1.521580918
54	1.520988214
55	1.519521258
56	1.518455992
57	1.515838571
58	1.514708395
59	1.512640435
60	1.511081705
61	1.509959906
62	1.508312886
63	1.506264038
64	1.504768339
65	1.503737403
66	1.502561865
67	1.501739212
68	1.500532471
69	1.498339499
70	1.49647775
71	1.495493205
72	1.493905438
73	1.493023126
74	1.491998023
75	1.490074576
76	1.489293713
77	1.488551278
78	1.487423433
79	1.485446462
80	1.484721523
81	1.483204248
82	1.482275237
83	1.481564236
84	1.480609217
85	1.479577828
86	1.478603081
87	1.47741669
88	1.475745247
89	1.474429473
90	1.473596686
91	1.47244601
92	1.471421657
93	1.470493601
94	1.469318228
95	1.468685476
96	1.467483419
97	1.466673691
98	1.465786241
99	1.464658028
100	1.463960206
101	1.463046524
102	1.46161157
103	1.460528933
104	1.459680352
105	1.458194855
106	1.457594258
107	1.456946651
108	1.455872894
109	1.455100083
110	1.454223006
111	1.453408006
112	1.452387818
113	1.451391405
114	1.450278437
115	1.449657739
116	1.448558382
117	1.448211509
118	1.447244841
119	1.446397424
120	1.445240239
121	1.444478751
122	1.443709595
123	1.442991505
124	1.442378808
125	1.44157301
126	1.439982003
127	1.439357387
128	1.438344936
129	1.43781337
130	1.437065654
131	1.436507828
132	1.435902708
133	1.434585047
134	1.433593671
135	1.432483665
136	1.431692203
137	1.431012559
138	1.430157103
139	1.429567556
140	1.428732038
141	1.428386562
142	1.427535493
143	1.427032141
144	1.426635311
145	1.426190109
146	1.425409041
147	1.424868212
148	1.424366322
149	1.424023067
150	1.423448014
151	1.423049812
152	1.422651901
153	1.421887223
154	1.421093263
155	1.420558403
156	1.419797015
157	1.419603366
158	1.419113014
159	1.418654353
160	1.418059807
161	1.417227579
162	1.416438974
163	1.416150254
164	1.415429399
165	1.414823489
166	1.414273167
167	1.413765143
168	1.413266944
169	1.412566979
170	1.411894857
171	1.411510218
172	1.410634012
173	1.41021932
174	1.409377034
175	1.408922294
176	1.408345867
177	1.407799855
178	1.407287757
179	1.406949149
180	1.406389722
181	1.405785186
182	1.405445638
183	1.404866445
184	1.40444106
185	1.404070033
186	1.403792789
187	1.403291819
188	1.402914215
189	1.402588521
190	1.402182561
191	1.40158547
192	1.401266494
193	1.400569997
194	1.400032464
195	1.3996424
196	1.399110518
197	1.398799393
198	1.398456301
199	1.398297903
200	1.397682709
201	1.397316063
202	1.396808512
203	1.396234077
204	1.395675504
205	1.395310073
206	1.394766651
207	1.394618038
208	1.394213349
209	1.393844081
210	1.393598633
211	1.393266489
212	1.392783593
213	1.392192509
214	1.391780201
215	1.391268442
216	1.390737396
217	1.390370328
218	1.389914212
219	1.389189987
220	1.388760111
221	1.388256697
222	1.387721111
223	1.387326864
224	1.387072198
225	1.386727673
226	1.386466046
227	1.386119762
228	1.385929873
229	1.385485273
230	1.385031105
231	1.384691846
232	1.38428483
233	1.383730521
234	1.383361354
235	1.382806212
236	1.382420842
237	1.381960398
238	1.381669446
239	1.381418966
240	1.380722609
241	1.380323685
242	1.379979462
243	1.379803278
244	1.379246297
245	1.378884517
246	1.378709654
247	1.37841946
248	1.377923009
249	1.377601883
250	1.377414646
251	1.377218075
252	1.376849634
253	1.376589034
254	1.376187639
255	1.375905231
256	1.375688996
257	1.3754003
258	1.375204041
259	1.37483835
260	1.374216927
261	1.37390984
262	1.373719775
263	1.373345131
264	1.373011326
265	1.372587931
266	1.372172577
267	1.371821447
268	1.371163199
269	1.37073874
270	1.370358733
271	1.370160016
272	1.369876902
273	1.369525813
274	1.369203051
275	1.368920206
276	1.368579102
277	1.368164647
278	1.367628637
279	1.367366771
280	1.367103285
281	1.366625887
282	1.366421379
283	1.366084474
284	1.365838938
285	1.365404478
286	1.365040821
287	1.364812879
288	1.364595216
289	1.364198892
290	1.363765779
291	1.363612144
292	1.36327148
293	1.362992495
294	1.362646533
295	1.362261094
296	1.361901995
297	1.361676436
298	1.361392325
299	1.361210532
