iter	Passed	Remaining
0	5	1701
1	10	1547
2	14	1474
3	19	1465
4	24	1452
5	29	1432
6	34	1439
7	39	1446
8	44	1434
9	49	1430
10	54	1440
11	59	1431
12	64	1431
13	71	1459
14	76	1456
15	81	1449
16	87	1451
17	92	1445
18	97	1448
19	103	1454
20	109	1450
21	114	1447
22	120	1452
23	125	1448
24	131	1449
25	138	1456
26	143	1451
27	149	1452
28	155	1450
29	160	1445
30	166	1447
31	172	1444
32	178	1441
33	184	1441
34	189	1436
35	194	1429
36	201	1433
37	207	1429
38	212	1425
39	219	1426
40	224	1421
41	230	1418
42	236	1412
43	241	1406
44	247	1401
45	253	1397
46	258	1392
47	265	1392
48	270	1387
49	276	1381
50	283	1382
51	288	1376
52	294	1371
53	300	1371
54	306	1366
55	313	1366
56	319	1363
57	325	1358
58	331	1355
59	337	1350
60	343	1347
61	350	1344
62	355	1338
63	362	1335
64	367	1330
65	373	1325
66	380	1323
67	386	1318
68	393	1316
69	400	1316
70	408	1319
71	423	1341
72	443	1379
73	453	1384
74	461	1385
75	468	1381
76	474	1374
77	480	1368
78	486	1361
79	493	1355
80	498	1347
81	504	1340
82	510	1335
83	516	1327
84	521	1320
85	528	1314
86	533	1306
87	540	1301
88	546	1295
89	552	1289
90	559	1285
91	565	1278
92	572	1273
93	578	1267
94	584	1261
95	591	1257
96	598	1251
97	604	1246
98	610	1239
99	616	1232
100	622	1227
101	628	1220
102	634	1213
103	640	1206
104	645	1199
105	651	1192
106	657	1186
107	663	1179
108	669	1173
109	675	1166
110	681	1160
111	688	1155
112	694	1149
113	699	1141
114	706	1136
115	712	1130
116	719	1125
117	724	1118
118	730	1110
119	736	1105
120	742	1098
121	748	1091
122	754	1086
123	760	1079
124	767	1075
125	773	1068
126	779	1062
127	787	1057
128	793	1052
129	800	1046
130	806	1041
131	813	1034
132	820	1030
133	827	1024
134	833	1019
135	839	1012
136	845	1006
137	852	1000
138	858	994
139	864	988
140	871	982
141	877	976
142	884	970
143	889	964
144	895	957
145	902	951
146	907	944
147	914	939
148	921	933
149	927	927
150	934	922
151	941	916
152	949	912
153	955	906
154	963	900
155	970	895
156	976	889
157	983	884
158	990	878
159	998	873
160	1004	867
161	1012	862
162	1019	856
163	1027	852
164	1034	846
165	1041	840
166	1049	835
167	1056	830
168	1064	825
169	1070	818
170	1078	813
171	1084	806
172	1092	802
173	1099	795
174	1105	789
175	1112	783
176	1119	777
177	1126	771
178	1133	766
179	1142	761
180	1149	755
181	1156	750
182	1163	744
183	1175	740
184	1183	735
185	1191	730
186	1200	725
187	1209	720
188	1217	715
189	1229	711
190	1236	705
191	1246	701
192	1256	696
193	1265	691
194	1274	686
195	1285	681
196	1294	676
197	1304	671
198	1313	666
199	1346	673
200	1362	670
201	1369	664
202	1376	657
203	1382	650
204	1390	644
205	1403	640
206	1410	633
207	1418	627
208	1426	620
209	1432	614
210	1440	607
211	1447	600
212	1454	594
213	1461	587
214	1470	581
215	1478	574
216	1488	569
217	1496	563
218	1505	556
219	1514	550
220	1521	543
221	1527	536
222	1534	529
223	1540	522
224	1547	515
225	1553	508
226	1559	501
227	1566	494
228	1572	487
229	1578	480
230	1584	473
231	1590	466
232	1596	459
233	1603	452
234	1608	445
235	1615	438
236	1621	430
237	1627	423
238	1633	416
239	1639	409
240	1645	402
241	1651	395
242	1657	388
243	1664	382
244	1670	374
245	1675	367
246	1683	361
247	1688	354
248	1695	347
249	1701	340
250	1708	333
251	1714	326
252	1720	319
253	1726	312
254	1732	305
255	1738	298
256	1743	291
257	1749	284
258	1754	277
259	1761	270
260	1767	264
261	1773	257
262	1779	250
263	1785	243
264	1790	236
265	1796	229
266	1802	222
267	1808	215
268	1814	209
269	1820	202
270	1826	195
271	1830	188
272	1836	181
273	1842	174
274	1848	168
275	1854	161
276	1860	154
277	1866	147
278	1871	140
279	1877	134
280	1883	127
281	1889	120
282	1894	113
283	1900	107
284	1906	100
285	1911	93
286	1917	86
287	1923	80
288	1929	73
289	1934	66
290	1940	60
291	1946	53
292	1952	46
293	1958	39
294	1964	33
295	1970	26
296	1975	19
297	1981	13
298	1987	6
299	1992	0
